secprov,seccionId,name,circuitoId,nombreAgrupacion,mesasTotalizadas,cantidadElectores,votos
02,007,Bahia Blanca,00074,LLA_JxC,61,21089,4916
02,007,Bahia Blanca,00074,NO_VOTANTES,61,21089,8329
02,007,Bahia Blanca,00074,OTROS,61,21089,3095
02,007,Bahia Blanca,00074,UxP,61,21089,4089
02,007,Bahia Blanca,00075,EN BLANCO,26,8905,310
02,007,Bahia Blanca,00075,LLA_JxC,26,8905,2825
02,007,Bahia Blanca,00075,NO_VOTANTES,26,8905,2968
02,007,Bahia Blanca,00075,OTROS,26,8905,1276
02,007,Bahia Blanca,00075,UxP,26,8905,1526
02,007,Bahia Blanca,00076,EN BLANCO,120,41660,1429
02,007,Bahia Blanca,00076,LLA_JxC,120,41660,10788
02,007,Bahia Blanca,00076,NO_VOTANTES,120,41660,15846
02,007,Bahia Blanca,00076,OTROS,120,41660,5536
02,007,Bahia Blanca,00076,UxP,120,41660,8061
02,007,Bahia Blanca,00077,EN BLANCO,16,5320,161
02,007,Bahia Blanca,00077,LLA_JxC,16,5320,1458
02,007,Bahia Blanca,00077,NO_VOTANTES,16,5320,2099
02,007,Bahia Blanca,00077,OTROS,16,5320,626
02,007,Bahia Blanca,00077,UxP,16,5320,976
02,007,Bahia Blanca,00078,EN BLANCO,14,4881,165
02,007,Bahia Blanca,00078,LLA_JxC,14,4881,1552
02,007,Bahia Blanca,00078,NO_VOTANTES,14,4881,1634
02,007,Bahia Blanca,00078,OTROS,14,4881,680
02,007,Bahia Blanca,00078,UxP,14,4881,850
02,007,Bahia Blanca,00079,EN BLANCO,21,7091,211
02,007,Bahia Blanca,00079,LLA_JxC,21,7091,2292
02,007,Bahia Blanca,00079,NO_VOTANTES,21,7091,2503
02,007,Bahia Blanca,00079,OTROS,21,7091,867
02,007,Bahia Blanca,00079,UxP,21,7091,1218
02,007,Bahia Blanca,00080,EN BLANCO,7,2117,44
02,007,Bahia Blanca,00080,LLA_JxC,7,2117,562
02,007,Bahia Blanca,00080,NO_VOTANTES,7,2117,880
02,007,Bahia Blanca,00080,OTROS,7,2117,347
02,007,Bahia Blanca,00080,UxP,7,2117,284
02,007,Bahia Blanca,00083,EN BLANCO,32,11129,315
02,007,Bahia Blanca,00083,LLA_JxC,32,11129,3721
02,007,Bahia Blanca,00083,NO_VOTANTES,32,11129,3864
02,007,Bahia Blanca,00083,OTROS,32,11129,1582
02,007,Bahia Blanca,00083,UxP,32,11129,1647
02,007,Bahia Blanca,00084,EN BLANCO,29,9837,279
02,007,Bahia Blanca,00084,LLA_JxC,29,9837,3162
02,007,Bahia Blanca,00084,NO_VOTANTES,29,9837,3462
02,007,Bahia Blanca,00084,OTROS,29,9837,1406
02,007,Bahia Blanca,00084,UxP,29,9837,1528
02,007,Bahia Blanca,00085,EN BLANCO,82,28688,935
02,007,Bahia Blanca,00085,LLA_JxC,82,28688,8807
02,007,Bahia Blanca,00085,NO_VOTANTES,82,28688,9766
02,007,Bahia Blanca,00085,OTROS,82,28688,4304
02,007,Bahia Blanca,00085,UxP,82,28688,4876
02,007,Bahia Blanca,00086,EN BLANCO,70,24495,746
02,007,Bahia Blanca,00086,LLA_JxC,70,24495,7224
02,007,Bahia Blanca,00086,NO_VOTANTES,70,24495,8357
02,007,Bahia Blanca,00086,OTROS,70,24495,3732
02,007,Bahia Blanca,00086,UxP,70,24495,4436
02,007,Bahia Blanca,00087,EN BLANCO,46,16029,513
02,007,Bahia Blanca,00087,LLA_JxC,46,16029,3613
02,007,Bahia Blanca,00087,NO_VOTANTES,46,16029,6562
02,007,Bahia Blanca,00087,OTROS,46,16029,2040
02,007,Bahia Blanca,00087,UxP,46,16029,3301
02,007,Bahia Blanca,00088,EN BLANCO,19,6347,137
02,007,Bahia Blanca,00088,LLA_JxC,19,6347,1580
02,007,Bahia Blanca,00088,NO_VOTANTES,19,6347,2602
02,007,Bahia Blanca,00088,OTROS,19,6347,938
02,007,Bahia Blanca,00088,UxP,19,6347,1090
02,007,Bahia Blanca,00089,EN BLANCO,25,8697,265
02,007,Bahia Blanca,00089,LLA_JxC,25,8697,3124
02,007,Bahia Blanca,00089,NO_VOTANTES,25,8697,2817
02,007,Bahia Blanca,00089,OTROS,25,8697,1241
02,007,Bahia Blanca,00089,UxP,25,8697,1250
02,007,Bahia Blanca,00090,LLA_JxC,1,25,9
02,007,Bahia Blanca,00090,NO_VOTANTES,1,25,9
02,007,Bahia Blanca,00090,OTROS,1,25,4
02,007,Bahia Blanca,00090,UxP,1,25,3
02,007,Bahia Blanca,00091,EN BLANCO,41,14127,425
02,007,Bahia Blanca,00091,LLA_JxC,41,14127,3025
02,007,Bahia Blanca,00091,NO_VOTANTES,41,14127,6311
02,007,Bahia Blanca,00091,OTROS,41,14127,1669
02,007,Bahia Blanca,00091,UxP,41,14127,2697
02,007,Bahia Blanca,00092,EN BLANCO,23,8081,232
02,007,Bahia Blanca,00092,LLA_JxC,23,8081,1542
02,007,Bahia Blanca,00092,NO_VOTANTES,23,8081,3535
02,007,Bahia Blanca,00092,OTROS,23,8081,908
02,007,Bahia Blanca,00092,UxP,23,8081,1864
02,007,Bahia Blanca,00093,EN BLANCO,14,4554,118
02,007,Bahia Blanca,00093,LLA_JxC,14,4554,1006
02,007,Bahia Blanca,00093,NO_VOTANTES,14,4554,1847
02,007,Bahia Blanca,00093,OTROS,14,4554,572
02,007,Bahia Blanca,00093,UxP,14,4554,1011
02,008,Balcarce,00098,EN BLANCO,114,39923,1666
02,008,Balcarce,00098,LLA_JxC,114,39923,8591
02,008,Balcarce,00098,NO_VOTANTES,114,39923,15180
02,008,Balcarce,00098,OTROS,114,39923,9362
02,008,Balcarce,00098,UxP,114,39923,5124
02,008,Balcarce,00099,EN BLANCO,2,601,15
02,008,Balcarce,00099,LLA_JxC,2,601,89
02,008,Balcarce,00099,NO_VOTANTES,2,601,236
02,008,Balcarce,00099,OTROS,2,601,198
02,008,Balcarce,00099,UxP,2,601,63
02,008,Balcarce,00100,EN BLANCO,1,270,5
02,008,Balcarce,00100,LLA_JxC,1,270,66
02,008,Balcarce,00100,NO_VOTANTES,1,270,134
02,008,Balcarce,00100,OTROS,1,270,38
02,008,Balcarce,00100,UxP,1,270,27
02,008,Balcarce,00101,EN BLANCO,2,491,15
02,008,Balcarce,00101,LLA_JxC,2,491,79
