secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,EN_BLANCO,LLA_JxC,NO_VOTANTES,OTROS,UxP
2,50,General Pueyrredon,00370,65,22626,2621,5141,9854,1130,3880
2,50,General Pueyrredon,0364A,71,24291,2979,6133,9988,1271,3920
2,50,General Pueyrredon,0364B,49,16718,2443,3795,6819,823,2838
2,50,General Pueyrredon,0364C,50,17184,2478,5310,5876,901,2619
2,50,General Pueyrredon,0364D,114,39688,6676,7363,16469,1841,7339
2,50,General Pueyrredon,0364E,86,29925,5543,4638,13003,1274,5467
2,50,General Pueyrredon,0365A,65,22624,4059,3406,10543,815,3801
2,50,General Pueyrredon,0365B,30,10116,2026,1402,4776,273,1639
2,50,General Pueyrredon,0365C,65,22532,2848,5577,8956,1060,4091
2,50,General Pueyrredon,0365D,51,17677,3399,3346,7035,711,3186
2,50,General Pueyrredon,0365E,46,15662,3120,2644,6604,526,2768
2,50,General Pueyrredon,0365F,50,17265,1894,5283,5833,1149,3106
2,50,General Pueyrredon,0366A,155,54257,6020,13964,21235,3306,9732
2,50,General Pueyrredon,0368A,9,3019,468,635,1175,172,569
2,50,General Pueyrredon,0368B,17,5888,815,1307,2390,231,1145
2,50,General Pueyrredon,0368C,0,0,0,0,0,0,0
2,50,General Pueyrredon,0370A,23,7927,1114,1491,3203,404,1715
2,50,General Pueyrredon,0370B,5,1641,249,184,953,46,209
2,50,General Pueyrredon,0370C,5,1453,126,268,682,87,290
2,50,General Pueyrredon,0370D,5,1719,141,326,742,98,412
2,50,General Pueyrredon,0370E,22,7734,1289,850,4160,246,1189
2,50,General Pueyrredon,0370F,65,22662,4522,2688,10711,677,4064
2,50,General Pueyrredon,0370G,40,13698,2128,2248,6349,757,2216
2,51,General Rodriguez,00374,312,111724,6156,20603,52817,7403,24745
2,52,General San Martin,00376,124,46514,864,8202,26526,1993,8929
2,52,General San Martin,00377,94,32645,875,8810,12704,2251,8005
2,52,General San Martin,00378,85,29455,689,5397,12189,1893,9287
2,52,General San Martin,00379,83,29334,716,5978,13545,1694,7401
2,52,General San Martin,00380,58,20561,514,4202,9981,1019,4845
2,52,General San Martin,00381,194,72108,1253,11402,37504,3005,18944
2,52,General San Martin,00382,77,27782,657,7123,12359,1697,5946
