secprov,seccionId,name,circuitoId,mesasTotalizadas,cantidadElectores,anioEleccion,EN_BLANCO,JxC,LLA,NO_VOTANTES,OTROS,UxP,VOTANTES
2,28,Coronel Suarez,0258B,7,2330,2023,268,263,404,762,56,577,1568
2,28,Coronel Suarez,0258C,1,157,2023,20,30,35,45,0,27,112
2,29,Chacabuco,00189,115,40393,2023,3649,7508,8357,7607,289,12983,32786
2,29,Chacabuco,00190,4,1238,2023,111,415,240,237,9,226,1001
2,29,Chacabuco,00191,2,73,2023,8,15,18,17,3,12,56
2,29,Chacabuco,00193,2,135,2023,13,41,29,34,0,18,101
2,29,Chacabuco,00195,2,92,2023,5,16,26,28,0,17,64
2,29,Chacabuco,00197,6,1825,2023,186,443,315,322,2,557,1503
2,29,Chacabuco,00198,2,579,2023,49,162,71,109,3,185,470
2,29,Chacabuco,0196A,1,67,2023,8,17,13,9,2,18,58
2,30,Chascomus,00201,93,32354,2023,4260,8074,4964,7243,596,7217,25111
2,30,Chascomus,00202,4,1073,2023,188,249,167,211,11,247,862
2,30,Chascomus,00203,6,1817,2023,157,288,229,674,77,392,1143
2,30,Chascomus,00204,1,101,2023,8,41,15,27,4,6,74
2,30,Chascomus,00205,3,143,2023,15,51,15,44,3,15,99
2,30,Chascomus,00209,2,448,2023,33,144,64,82,13,112,366
2,31,Chivilcoy,00211,166,58052,2023,11488,9652,9856,12117,219,14720,45935
2,31,Chivilcoy,00212,2,141,2023,29,25,23,34,1,29,107
2,31,Chivilcoy,00215,2,124,2023,23,33,19,29,1,19,95
2,31,Chivilcoy,00216,1,117,2023,30,11,25,31,1,19,86
2,31,Chivilcoy,00218,2,404,2023,83,74,69,89,0,89,315
2,31,Chivilcoy,00219,1,75,2023,0,22,12,30,2,9,45
2,31,Chivilcoy,00220,1,156,2023,0,0,0,156,0,0,0
2,31,Chivilcoy,00221,1,166,2023,28,32,47,45,0,14,121
2,31,Chivilcoy,00222,7,2341,2023,524,496,489,448,4,380,1893
2,31,Chivilcoy,00224,1,255,2023,0,0,0,255,0,0,0
2,31,Chivilcoy,00226,1,44,2023,0,10,7,23,2,2,21
2,32,Daireaux,00179,37,12577,2023,1544,3084,1898,2657,155,3239,9920
2,32,Daireaux,00180,2,594,2023,64,159,165,94,6,106,500
2,32,Daireaux,00181,1,152,2023,26,30,33,36,3,24,116
2,32,Daireaux,00182,1,67,2023,5,24,5,16,5,12,51
2,32,Daireaux,00183,6,2004,2023,187,491,336,407,15,568,1597
2,33,Dolores,00282,75,25633,2023,2796,7421,3707,4687,333,6689,20946
2,33,Dolores,00285,1,171,2023,22,39,27,30,7,46,141
2,34,Ensenada,00490,39,13353,2023,973,1833,1918,3438,388,4803,9915
2,34,Ensenada,00491,99,35249,2023,2019,4553,4815,8180,1170,14512,27069
2,34,Ensenada,00492,1,193,2023,17,13,28,53,9,73,140
2,34,Ensenada,0491A,36,12519,2023,869,1171,1794,2861,406,5418,9658
2,35,Escobar,00773,95,33963,2023,2959,4383,7691,8680,1019,9231,25283
2,35,Escobar,00774,174,61787,2023,4823,11069,13195,16090,1875,14735,45697
2,35,Escobar,00775,52,18461,2023,1225,3427,3708,4069,664,5368,14392
2,35,Escobar,0773A,204,72440,2023,5771,8762,13523,18063,2211,24110,54377
2,35,Escobar,0773B,69,23921,2023,2254,1978,3589,5757,611,9732,18164
2,36,Esteban Echeverria,00286,14,4912,2023,443,377,883,1571,138,1500,3341
2,36,Esteban Echeverria,00287,75,26713,2023,1946,2816,4876,6364,1007,9704,20349
2,36,Esteban Echeverria,00288,101,38662,2023,2082,7398,5985,12601,1229,9367,26061
2,36,Esteban Echeverria,00291,44,15358,2023,946,3479,3043,3083,667,4140,12275
2,36,Esteban Echeverria,0286A,103,37968,2023,2663,2802,6195,11962,1124,13222,26006
2,36,Esteban Echeverria,0287A,57,20154,2023,1624,2487,4031,4386,804,6822,15768
2,36,Esteban Echeverria,0287B,19,6662,2023,284,1746,1348,2040,161,1083,4622
2,36,Esteban Echeverria,0287C,55,19270,2023,1707,1651,3257,5181,718,6756,14089
2,36,Esteban Echeverria,0287D,70,24316,2023,2204,2687,4741,4801,1028,8855,19515
2,36,Esteban Echeverria,0288A,56,20380,2023,939,4336,3579,5368,822,5336,15012
2,36,Esteban Echeverria,0288B,91,32494,2023,2633,3800,5898,7740,1297,11126,24754
2,36,Esteban Echeverria,0291A,68,25171,2023,1621,3343,3899,7407,818,8083,17764
2,37,Exaltacion de la Cruz,00292,32,10795,2023,1165,2175,1988,2621,200,2646,8174
2,37,Exaltacion de la Cruz,00293,37,12781,2023,1113,2244,2841,3060,311,3212,9721
2,37,Exaltacion de la Cruz,00294,12,3913,2023,327,689,725,920,168,1084,2993
2,37,Exaltacion de la Cruz,00295,18,6309,2023,469,1376,1226,1587,169,1482,4722
2,37,Exaltacion de la Cruz,00297,2,549,2023,51,109,105,126,13,145,423
2,37,Exaltacion de la Cruz,00298,1,318,2023,27,77,89,82,4,39,236
2,38,Florencio Varela,00302,343,124017,2023,7932,13913,19267,36798,4044,42063,87219
2,38,Florencio Varela,00303,15,5131,2023,444,380,971,1431,160,1745,3700
2,38,Florencio Varela,0302A,137,48682,2023,4560,2913,7013,13521,1352,19323,35161
2,38,Florencio Varela,0302B,76,26745,2023,2541,1869,3909,6852,849,10725,19893
2,38,Florencio Varela,0302C,100,35043,2023,2646,3534,6088,8277,1303,13195,26766
2,38,Florencio Varela,0302D,57,19870,2023,1489,1671,3473,4609,673,7955,15261
2,38,Florencio Varela,0302E,151,53674,2023,4965,3943,8585,14237,1854,20090,39437
2,38,Florencio Varela,0302F,18,6237,2023,701,474,1129,1266,248,2419,4971
2,38,Florencio Varela,0303A,31,10476,2023,1036,743,1782,2825,247,3843,7651
2,38,Florencio Varela,0303B,93,33150,2023,3460,2185,5250,9590,931,11734,23560
2,39,General Alvarado,00305,89,30640,2023,2214,6884,4779,7657,707,8399,22983
2,39,General Alvarado,00306,20,6554,2023,734,1420,1317,1299,100,1684,5255
2,39,General Alvarado,00307,5,1475,2023,148,493,232,301,56,245,1174
2,39,General Alvarado,00308,3,755,2023,37,121,87,351,14,145,404
2,39,General Alvarado,00309,1,71,2023,7,16,12,23,3,10,48
2,40,General Alvear,00310,28,8885,2023,964,2494,1248,1899,63,2217,6986
2,40,General Alvear,00311,1,80,2023,5,22,4,28,2,19,52
2,40,General Alvear,00312,1,103,2023,6,34,15,30,1,17,73
2,41,General Arenales,00314,18,5486,2023,637,1498,984,1324,15,1028,4162
2,41,General Arenales,00315,1,166,2023,12,44,28,57,2,23,109
2,41,General Arenales,00316,13,4476,2023,357,1364,970,930,15,840,3546
2,41,General Arenales,00317,7,2148,2023,256,684,349,383,12,464,1765
2,41,General Arenales,00318,9,2882,2023,289,767,457,635,4,730,2247
2,41,General Arenales,0316A,1,323,2023,27,95,67,55,0,79,268
2,42,General Belgrano,00320,48,16666,2023,1778,4637,2458,3605,240,3948,13061
2,42,General Belgrano,00322,1,118,2023,1,22,34,32,4,25,86
2,42,General Belgrano,00324,2,294,2023,16,63,36,77,5,97,217
2,43,General Guido,00326,8,1890,2023,234,468,172,404,19,593,1486
2,43,General Guido,00327,4,1068,2023,123,322,47,152,6,418,916
2,44,General La Madrid,00330,26,8666,2023,1091,2050,1371,2392,176,1586,6274
2,44,General La Madrid,00332,1,266,2023,32,58,48,54,9,65,212
2,44,General La Madrid,00334,2,607,2023,79,172,104,141,14,97,466
2,44,General La Madrid,00335,1,313,2023,28,101,53,58,7,66,255
2,44,General La Madrid,00336,1,58,2023,8,8,8,21,4,9,37
2,45,General Las Heras,00547,38,12831,2023,1238,2705,2060,2533,274,4021,10298
2,45,General Las Heras,00548,4,1376,2023,114,261,234,203,37,527,1173
2,45,General Las Heras,0548A,1,314,2023,26,73,49,55,5,106,259
2,46,General Lavalle,00338,10,3291,2023,206,880,350,1089,27,739,2202
2,46,General Lavalle,0338A,5,1601,2023,104,419,276,331,33,438,1270
2,46,General Lavalle,0338B,2,545,2023,38,171,84,109,10,133,436
2,47,General Juan Madariaga,00340,57,19760,2023,2617,4876,3067,5112,416,3672,14648
2,47,General Juan Madariaga,00341,1,35,2023,1,4,7,19,2,2,16
2,47,General Juan Madariaga,00342,1,65,2023,2,15,5,35,2,6,30
2,47,General Juan Madariaga,00343,1,103,2023,0,22,15,50,6,10,53
2,48,General Paz,00345,30,9736,2023,697,1930,1685,2219,122,3083,7517
2,48,General Paz,00348,3,868,2023,58,187,144,156,19,304,712
2,48,General Paz,00349,1,59,2023,5,9,11,14,2,18,45
2,48,General Paz,00350,1,42,2023,1,13,7,16,3,2,26
2,48,General Paz,00351,4,1075,2023,102,219,229,180,13,332,895
2,48,General Paz,00352,1,126,2023,11,56,14,20,3,22,106
2,49,General Pinto,00354,21,7065,2023,684,1676,917,1192,44,2552,5873
2,49,General Pinto,00357,4,1385,2023,150,325,76,211,5,618,1174
2,49,General Pinto,00358,1,65,2023,0,11,4,23,1,26,42
2,49,General Pinto,00359,4,1088,2023,94,316,197,198,3,280,890
2,49,General Pinto,00360,2,702,2023,60,171,123,109,1,238,593
2,50,General Pueyrredon,00364,21,7359,2023,469,1880,1352,2076,218,1364,5283
2,50,General Pueyrredon,00365,65,22481,2023,1750,4502,4036,5693,834,5666,16788
2,50,General Pueyrredon,00366,248,87274,2023,3634,29402,12002,26285,2440,13511,60989
2,50,General Pueyrredon,00367,209,73759,2023,3432,22250,10903,20922,2559,13693,52837
2,50,General Pueyrredon,00368,31,10648,2023,863,1294,1958,2833,421,3279,7815
2,50,General Pueyrredon,00369,25,8930,2023,706,1515,1864,2581,272,1992,6349
2,50,General Pueyrredon,00370,62,21407,2023,1357,3891,4212,5783,888,5276,15624
2,50,General Pueyrredon,0364A,69,24038,2023,1522,5678,4333,6867,930,4708,17171
2,50,General Pueyrredon,0364B,49,16680,2023,1207,3481,2970,4575,585,3862,12105
2,50,General Pueyrredon,0364C,49,16902,2023,1212,4325,3638,3690,673,3364,13212
2,50,General Pueyrredon,0364D,120,42391,2023,3692,6639,7676,11929,1547,10908,30462
2,50,General Pueyrredon,0364E,84,29137,2023,2598,3988,4996,7940,992,8623,21197
2,50,General Pueyrredon,0365A,63,22176,2023,1794,2788,3738,7016,656,6184,15160
2,50,General Pueyrredon,0365B,27,9427,2023,946,1011,1933,2185,343,3009,7242
2,50,General Pueyrredon,0365C,63,21831,2023,1373,5048,3900,5626,820,5064,16205
2,50,General Pueyrredon,0365D,50,17251,2023,1392,2877,3356,3967,654,5005,13284
2,50,General Pueyrredon,0365E,51,17994,2023,1659,2196,3054,4994,652,5439,13000
2,50,General Pueyrredon,0365F,48,16663,2023,841,4866,2849,3692,664,3751,12971
2,50,General Pueyrredon,0366A,165,58022,2023,3183,15227,8491,15907,2420,12794,42115
2,50,General Pueyrredon,0368A,10,3145,2023,223,395,615,941,104,867,2204
2,50,General Pueyrredon,0368B,19,6343,2023,553,1201,1189,1495,239,1666,4848
2,50,General Pueyrredon,0368C,1,73,2023,8,14,12,22,0,17,51
